Station,City,Name,Date,Wind_Avg,Rain,Snowfall,Snow_Depth,Temp_Avg
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/13/2016,10.74,0,0,0,85
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/14/2016,10.07,0.01,0,0,87
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/15/2016,8.5,0,0,0,84
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/16/2016,13.42,0,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/17/2016,14.54,0.01,0,0,82
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/18/2016,4.92,0.01,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/19/2016,7.61,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/20/2016,6.71,0.03,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/21/2016,12.53,0.26,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/22/2016,16.11,0,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/23/2016,8.05,0,0,0,71
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/24/2016,11.18,0,0,0,75
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/25/2016,14.32,0,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/26/2016,10.51,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/27/2016,8.5,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/28/2016,6.71,0,0,0,78
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/29/2016,9.84,0,0,0,81
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/30/2016,8.72,0,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",8/31/2016,10.74,0,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/1/2016,6.26,0.5,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/2/2016,10.51,0,0,0,73
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/3/2016,11.18,0,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/4/2016,11.86,0,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/5/2016,15.88,0,0,0,72
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/6/2016,21.03,0.16,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/7/2016,13.65,0.01,0,0,76
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/8/2016,6.26,0,0,0,77
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/9/2016,8.5,0,0,0,83
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/10/2016,11.86,0,0,0,80
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/11/2016,14.99,0,0,0,79
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/12/2016,9.62,0,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/13/2016,10.96,0,0,0,70
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/14/2016,11.86,0.43,0,0,74
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/15/2016,9.4,0,0,0,69
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/16/2016,7.61,0,0,0,66
USW00094789,NEW YORK NY,"JFK INTERNATIONAL AIRPORT, NY US",9/17/2016,8.5,0,0,0,66
